"Kód obce";PSČ;"Doručovacia pošta";"platné od";"platné do"
504271;90885;Brodské;2010-01-01;
580449;95842;Brodzany;2010-01-01;
508675;97662;Brusno;2010-01-01;
508896;97662;Brusno;2010-01-01;
526410;05373;Brutovce;2010-01-01;
526614;05373;Brutovce;2010-01-01;
543420;05373;Brutovce;2010-01-01;
503100;94355;Bruty;2010-01-01;
512915;01812;Brvnište;2010-01-01;
513687;01812;Brvnište;2010-01-01;
560022;04951;Brzotín;2010-01-01;
560065;04951;Brzotín;2010-01-01;
501077;94635;Búč;2010-01-01;
506851;91928;Bučany;2010-01-01;
518204;96233;Budča;2010-01-01;
521221;04443;Budimír;2010-01-01;
522121;04443;Budimír;2010-01-01;
522376;07215;Budkovce;2010-01-01;
522406;07215;Budkovce;2010-01-01;
507849;90086;Budmerice;2010-01-01;
507946;90086;Budmerice;2010-01-01;
508268;90086;Budmerice;2010-01-01;
506869;91910;"Buková pri Trnave";2010-01-01;
527181;09022;Bukovce;2010-01-01;
527289;09022;Bukovce;2010-01-01;
527416;09022;Bukovce;2010-01-01;
527700;09022;Bukovce;2010-01-01;
504289;90614;"Bukovec pri Myjave";2010-01-01;
515892;99122;Bušince;2010-01-01;
515914;99122;Bušince;2010-01-01;
516007;99122;Bušince;2010-01-01;
516198;99122;Bušince;2010-01-01;
516228;99122;Bušince;2010-01-01;
516261;99122;Bušince;2010-01-01;
516562;99122;Bušince;2010-01-01;
523411;05993;Bušovce;2010-01-01;
523780;05993;Bušovce;2010-01-01;
521264;04473;Buzica;2010-01-01;
521761;04473;Buzica;2010-01-01;
521922;04473;Buzica;2010-01-01;
526436;05362;"Bystrany pri Spišskej Novej Vsi";2010-01-01;
544094;09434;"Bystré nad Topľou";2010-01-01;
544132;09434;"Bystré nad Topľou";2010-01-01;
544221;09434;"Bystré nad Topľou";2010-01-01;
513911;97245;Bystričany;2010-01-01;
512133;03804;Bystrička;2010-01-01;
517461;01401;"Bytča 1";2010-01-01;
581984;01401;"Bytča 1";2010-01-01;
524263;08242;Bzenov;2010-01-01;
524581;08242;Bzenov;2010-01-01;
524794;08242;Bzenov;2010-01-01;
525073;08242;Bzenov;2010-01-01;
505897;91611;"Bzince pod Javorinou";2010-01-01;
518212;96241;Bzovík;2010-01-01;
518255;96241;Bzovík;2010-01-01;
518301;96241;Bzovík;2010-01-01;
518484;96241;Bzovík;2010-01-01;
518514;96241;Bzovík;2010-01-01;
518905;96241;Bzovík;2010-01-01;
518956;96241;Bzovík;2010-01-01;
545589;95117;"Cabaj- Čápor";2010-01-01;
528200;07605;Cejkov;2010-01-01;
528234;07605;Cejkov;2010-01-01;
544035;07605;Cejkov;2010-01-01;
527211;09016;Cernina;2010-01-01;
527491;09016;Cernina;2010-01-01;
527602;09016;Cernina;2010-01-01;
527777;09016;Cernina;2010-01-01;
504297;90633;Cerová;2010-01-01;
518239;96252;"Cerovo pri Krupine";2010-01-01;
506877;91943;Cífer;2010-01-01;
511315;98522;Cinobaňa;2010-01-01;
511901;98522;Cinobaňa;2010-01-01;
520101;06702;Čabiny;2010-01-01;
520713;06702;Čabiny;2010-01-01;
520853;06702;Čabiny;2010-01-01;
518247;96251;"Čabradský Vrbovok";2010-01-01;
518310;96251;"Čabradský Vrbovok";2010-01-01;
518352;96251;"Čabradský Vrbovok";2010-01-01;
518441;96251;"Čabradský Vrbovok";2010-01-01;
518743;96251;"Čabradský Vrbovok";2010-01-01;
509132;02201;"Čadca 1";2010-01-01;
509132;02204;"Čadca 4";2010-01-01;
505901;91621;Čachtice;2010-01-01;
502111;93524;Čajkov;2010-01-01;
502120;93568;Čaka;2010-01-01;
501085;94602;Čalovec;2010-01-01;
521299;04414;Čaňa;2010-01-01;
521370;04414;Čaňa;2010-01-01;
521388;04414;Čaňa;2010-01-01;
504319;90843;Čáry;2010-01-01;
507857;90089;Častá;2010-01-01;
508187;90089;Častá;2010-01-01;
505919;91627;Častkovce;2010-01-01;
555843;93563;Čata;2010-01-01;
507865;90083;Čataj;2010-01-01;
513938;97229;Čavoj;2010-01-01;
514403;97229;Čavoj;2010-01-01;
515906;99125;Čebovce;2010-01-01;
516121;99125;Čebovce;2010-01-01;
516287;99125;Čebovce;2010-01-01;
516317;99125;Čebovce;2010-01-01;
522392;07211;Čečehov;2010-01-01;
522511;07211;Čečehov;2010-01-01;
522546;07211;Čečehov;2010-01-01;
521272;04471;Čečejovce;2010-01-01;
521302;04471;Čečejovce;2010-01-01;
521850;04471;Čečejovce;2010-01-01;
555886;95107;Čechynce;2010-01-01;
555908;95107;Čechynce;2010-01-01;
500135;95103;Čeľadice;2010-01-01;
515922;99141;Čelovce;2010-01-01;
513946;97246;Čereňany;2010-01-01;
528251;07681;Čerhov;2010-01-01;
503126;94105;Černík;2010-01-01;
506885;92042;Červeník;2010-01-01;
507792;92042;Červeník;2010-01-01;
518620;92042;Červeník;2010-01-01;
512931;01856;"Červený Kameň";2010-01-01;
523429;05906;"Červený Kláštor";2010-01-01;
523615;05906;"Červený Kláštor";2010-01-01;
511340;98503;"České Brezovo";2010-01-01;
582051;98503;"České Brezovo";2010-01-01;
528277;07671;Čičarovce;2010-01-01;
501093;94619;Číčov;2010-01-01;
501191;94619;Číčov;2010-01-01;
501379;94619;Číčov;2010-01-01;
528188;07643;"Čierna nad Tisou";2010-01-01;
528285;07643;"Čierna nad Tisou";2010-01-01;
528293;07643;"Čierna nad Tisou";2010-01-01;
503690;92506;"Čierna Voda";2010-01-01;
509159;02313;"Čierne pri Čadci";2010-01-01;
508527;97652;"Čierny Balog";2010-01-01;
503703;92508;"Čierny Brod";2010-01-01;
500160;95161;Čifáre;2010-01-01;
555967;95161;Čifáre;2010-01-01;
501468;93008;"Čiližská Radvaň";2010-01-01;
501531;93008;"Čiližská Radvaň";2010-01-01;
526673;06542;Čirč;2010-01-01;
526932;06542;Čirč;2010-01-01;
526991;06542;Čirč;2010-01-01;
514624;98043;Číž;2010-01-01;
515949;99135;"Dačov Lom";2010-01-01;
516414;99135;"Dačov Lom";2010-01-01;
503134;94150;Dedinka;2010-01-01;
