St. šk.,Obec,Stredná škola,Ulica
160156,Galanta,Gymnázium Zoltána Kodálya s vyučovacím jazykom maďarským,Štvrť SNP 1004/34
17050146,Galanta,Gymnázium Janka Matúšku,Štvrť SNP 1004/34
30022754,Galanta,Súkromné bilingválne gymnázium,Hodská 10
11882115,Mostová,Súkromná stredná odborná škola obchodu a služieb s vyučovacím jazykom maďarským,Mostová 53
160351,Sereď,Gymnázium Vojtecha Mihálika,Kostolná 119/8
400238,Sereď,Obchodná akadémia,Mládežnícka 158/5
37841700,Sládkovičovo,Súkromná stredná odborná škola,Fučíkova 426
42319838,Malčice,Súkromná stredná odborná škola  Nová cesta,Hlavná 265
42096651,Michalovce,Stredná odborná škola technická,Partizánska 1
606782,Michalovce,Stredná zdravotnícka škola,Masarykova 27
45006601,Michalovce,Súkromná hotelová akadémia - Dufincova,Komenského 1
31953549,Michalovce,Obchodná akadémia,Kapušianska 2
17151341,Michalovce,Gymnázium,Ľ. Štúra 26
161063,Michalovce,Gymnázium Pavla Horova,Masarykova 1
31942369,Michalovce,Stredná odborná škola sv. Cyrila a Metoda,Tehliarska 2
17078385,Michalovce,Stredná odborná škola obchodu a služieb,Školská 4
710260296,Moldava nad Bodvou,Spojená škola cirkevná-Gymnázium bl. Sáry Salkaházi s vyučovacím jazykom maďarským,Školská 13
42102341,Moldava nad Bodvou,Stredná odborná škola agrotechnická,Hlavná 54
161071,Moldava nad Bodvou,Gymnázium Štefana Moysesa,Školská 13
710274050,Bratislava-Staré Mesto,Spojená škola sv. Uršule-Gymnázium sv. Uršule,Nedbalova 4
710262531,Bratislava-Staré Mesto,Spojená škola súkromná Cambridge International School-Súkromné gymnázium Cambridge International School,Úprkova 3
710229631,Bratislava-Staré Mesto,Súkromné gymnázium nemecko-slovenské,Palisády 51
17318840,Bratislava-Staré Mesto,Gymnázium Matky Alexie,Jesenského 4/A
17337046,Bratislava-Staré Mesto,Gymnázium Jána Papánka,Vazovova 6
17337089,Bratislava-Staré Mesto,Gymnázium s vyučovacím jazykom maďarským,Dunajská 13
17337101,Bratislava-Staré Mesto,Gymnázium,Grösslingová 18
30815339,Bratislava-Staré Mesto,Cirkevná stredná odborná škola elektrotechnická P. G. Frassatiho,Vazovova 12
30775302,Bratislava-Staré Mesto,Tanečné konzervatórium Evy Jaczovej,Gorazdova 20
605808,Bratislava-Staré Mesto,Konzervatórium,Tolstého 11
30775353,Bratislava-Staré Mesto,Stredná priemyselná škola elektrotechnická,Zochova 9
30775396,Bratislava-Staré Mesto,Stredná priemyselná škola strojnícka,Fajnorovo nábrežie 5
710276427,Bratislava-Ružinov,Spojená škola-Stredná športová škola,Ostredková 10
710273126,Bratislava-Ružinov,Spojená škola internátna - Stredná odborná škola pre žiakov so sluchovým postihnutím,Koceľova 26
710262507,Bratislava-Ružinov,Spojená škola sv. Vincenta de Paul-Gymnázium,Bachova 4
710262515,Bratislava-Ružinov,Spojená škola-Gymnázium Jura Hronca,Novohradská 3
50343971,Bratislava-Ružinov,1. súkromné gymnázium v Bratislave,Bajkalská 20
710243138,Bratislava-Ružinov,Spojená škola-Stredná odborná škola drevárska,Tokajícka 24
42253888,Bratislava-Ružinov,Stredná priemyselná škola stavebná a geodetická,Drieňová 35
42253900,Bratislava-Ružinov,Stredná odborná škola chemická,Vlčie hrdlo 50
42262488,Bratislava-Ružinov,Gymnázium,Metodova 2
42128790,Bratislava-Ružinov,Stredná odborná škola technológií a remesiel,Ivanská cesta 21
31797920,Bratislava-Ružinov,Stredná odborná škola dopravná,Kvačalova 20
710202342,Bratislava-Ružinov,Spojená škola-Middle Years Program,Novohradská 3
30868645,Bratislava-Ružinov,Súkromná stredná odborná škola pedagogická a sociálna,Sklenárova 1
607304,Bratislava-Ružinov,Stredná zdravotnícka škola,Záhradnícka 44
710202350,Bratislava-Ružinov,Spojená škola-Škola umeleckého priemyslu,Tokajícka 24
17337062,Bratislava-Ružinov,Gymnázium Ivana Horvátha,Ivana Horvátha 14
605786,Bratislava-Ružinov,Gymnázium Ladislava Novomeského,Tomášikova 2
681881,Bratislava-Ružinov,Súkromná stredná odborná škola,Exnárova 20
